"filename", "language", "Markdown", "JavaScript", "SCSS", "JSON", "Vue", "XML", "CSS", "HTML", "comment", "blank", "total"
"d:\project\project-rjwm-weixin-uniapp\App.vue", "Vue", 0, 0, 0, 0, 63, 0, 0, 0, 37, 15, 115
"d:\project\project-rjwm-weixin-uniapp\README.md", "Markdown", 56, 0, 0, 0, 0, 0, 0, 0, 16, 44, 116
"d:\project\project-rjwm-weixin-uniapp\components\empty\empty.vue", "Vue", 0, 0, 0, 0, 51, 0, 0, 0, 6, 4, 61
"d:\project\project-rjwm-weixin-uniapp\components\reach-bottom\reach-bottom.vue", "Vue", 0, 0, 0, 0, 42, 0, 0, 0, 0, 4, 46
"d:\project\project-rjwm-weixin-uniapp\components\uni-icons\icons.js", "JavaScript", 0, 96, 0, 0, 0, 0, 0, 0, 0, 1, 97
"d:\project\project-rjwm-weixin-uniapp\components\uni-icons\uni-icons.vue", "Vue", 0, 0, 0, 0, 49, 0, 0, 0, 4, 5, 58
"d:\project\project-rjwm-weixin-uniapp\components\uni-nav-bar\uni-nav-bar.vue", "Vue", 0, 0, 0, 0, 187, 0, 0, 0, 20, 18, 225
"d:\project\project-rjwm-weixin-uniapp\components\uni-phone\index.vue", "Vue", 0, 0, 0, 0, 37, 0, 0, 0, 2, 5, 44
"d:\project\project-rjwm-weixin-uniapp\components\uni-piker\index.vue", "Vue", 0, 0, 0, 0, 163, 0, 0, 0, 17, 24, 204
"d:\project\project-rjwm-weixin-uniapp\components\uni-popup\index.vue", "Vue", 0, 0, 0, 0, 108, 0, 0, 0, 10, 25, 143
"d:\project\project-rjwm-weixin-uniapp\components\uni-status-bar\uni-status-bar.vue", "Vue", 0, 0, 0, 0, 22, 0, 0, 0, 1, 3, 26
"d:\project\project-rjwm-weixin-uniapp\main.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\project\project-rjwm-weixin-uniapp\manifest.json", "JSON", 0, 0, 0, 68, 0, 0, 0, 0, 8, 1, 77
"d:\project\project-rjwm-weixin-uniapp\package.json", "JSON", 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"d:\project\project-rjwm-weixin-uniapp\pages.json", "JSON", 0, 0, 0, 107, 0, 0, 0, 0, 9, 5, 121
"d:\project\project-rjwm-weixin-uniapp\pages\addOrEditAddress\addOrEditAddress.vue", "Vue", 0, 0, 0, 0, 618, 0, 0, 0, 24, 22, 664
"d:\project\project-rjwm-weixin-uniapp\pages\address\address.vue", "Vue", 0, 0, 0, 0, 313, 0, 0, 0, 24, 13, 350
"d:\project\project-rjwm-weixin-uniapp\pages\api\api.js", "JavaScript", 0, 265, 0, 0, 0, 0, 0, 0, 42, 45, 352
"d:\project\project-rjwm-weixin-uniapp\pages\common\Navbar\navbar.scss", "SCSS", 0, 0, 63, 0, 0, 0, 0, 0, 3, 3, 69
"d:\project\project-rjwm-weixin-uniapp\pages\common\Navbar\navbar.vue", "Vue", 0, 0, 0, 0, 31, 0, 0, 0, 10, 3, 44
"d:\project\project-rjwm-weixin-uniapp\pages\common\city.data.js", "JavaScript", 0, 51603, 0, 0, 0, 0, 0, 0, 0, 2, 51605
"d:\project\project-rjwm-weixin-uniapp\pages\common\simple-address\city-data\area.js", "JavaScript", 0, 12547, 0, 0, 0, 0, 0, 0, 1, 1, 12549
"d:\project\project-rjwm-weixin-uniapp\pages\common\simple-address\city-data\city.js", "JavaScript", 0, 1506, 0, 0, 0, 0, 0, 0, 1, 1, 1508
"d:\project\project-rjwm-weixin-uniapp\pages\common\simple-address\city-data\province.js", "JavaScript", 0, 142, 0, 0, 0, 0, 0, 0, 1, 1, 144
"d:\project\project-rjwm-weixin-uniapp\pages\details\index.js", "JavaScript", 0, 211, 0, 0, 0, 0, 0, 0, 24, 3, 238
"d:\project\project-rjwm-weixin-uniapp\pages\details\index.vue", "Vue", 0, 0, 0, 0, 179, 0, 0, 0, 0, 4, 183
"d:\project\project-rjwm-weixin-uniapp\pages\historyOrder\historyOrder.vue", "Vue", 0, 0, 0, 0, 271, 0, 0, 0, 18, 11, 300
"d:\project\project-rjwm-weixin-uniapp\pages\index\file.vue", "Vue", 0, 0, 0, 0, 306, 0, 0, 0, 5, 5, 316
"d:\project\project-rjwm-weixin-uniapp\pages\index\food-component.vue", "Vue", 0, 0, 0, 0, 51, 0, 0, 0, 0, 4, 55
